student_ID,grade1,grade2,content_view,information_view,homework_view,discussion,gender,major,totalLearningTime,totalLearningFrequency
1001,1.51296169,2.272526071,48,9,20,60,female,literature,73855,46
1002,2.891606237,2.085291073,847,22,42,100,male,sport,418464,571
1003,0.95555299,2.152492595,56,1,24,55,female,literature,105757,54
1004,1.554257549,1.879235688,52,0,7,19,female,science,131242,43
1005,1.54687927,1.994371078,87,0,8,27,female,science,152349,77
1006,2.198113605,1.788027269,39,2,2,3,male,sport,108983,34
1007,1.354855905,2.455801374,207,21,34,117,male,science,131657,188
1008,2.197922139,2.2421551,50,3,8,0,female,sport,30663,48
1009,1.282681516,1.976946908,189,34,11,30,female,science,140668,186
1010,0.959584415,1.755863323,133,4,14,17,female,literature,128900,107
1011,1.810452838,2.152042869,76,22,20,56,female,literature,98193,69
1012,1.178469152,2.058504915,110,23,25,34,male,sport,98397,109
1013,1.700892718,2.080132143,114,2,6,10,female,science,94535,60
1014,1.234086795,2.118280085,70,3,14,22,female,science,115140,62
1015,1.019340242,2.148934291,55,12,12,15,male,science,153714,46
1016,1.497639887,2.100089066,79,14,22,2,female,science,68098,61
1017,1.574283041,2.226309343,341,1,15,7,female,science,64983,65
1018,1.72757617,1.921025812,65,0,12,1,female,sport,64847,45
1019,1.263666933,2.468438191,88,10,12,61,male,sport,97226,50
1020,2.334184955,1.861525532,187,12,21,23,male,literature,252696,167
1021,0.972533503,2.395763832,116,16,36,137,female,literature,135725,112
1022,1.993258838,1.982667961,34,0,4,7,female,science,271208,29
1023,1.472629048,1.727351814,28,0,15,2,female,literature,206748,25
1024,2.190250685,2.123115519,36,15,46,7,female,sport,142761,40
1025,1.816664971,2.347590821,260,7,14,57,female,science,91793,100
1026,1.174824173,2.194779027,230,31,46,44,male,science,143988,215
1027,1.564022539,1.738400862,54,4,4,31,male,sport,71881,44
1028,1.148452528,1.800003119,109,4,7,5,female,sport,95372,43
1029,1.420081283,1.738616399,27,2,15,1,male,sport,231109,23
1030,1.449479489,2.339346463,71,3,14,10,female,science,182120,61
1031,2.589459819,1.951832096,63,11,22,12,male,sport,31779,45
1032,1.71585233,2.218837713,59,48,21,166,female,science,271040,48
1033,1.642591628,1.851226816,22,0,10,3,female,science,87853,17
1034,1.086755481,1.704349429,33,5,11,17,male,sport,101975,27
1035,1.591209547,2.076229812,116,4,5,33,female,science,66272,58
1036,1.278385798,2.185595267,83,8,43,13,female,sport,153204,75
1037,1.768322383,1.717571746,145,4,16,33,female,science,122122,75
1038,2.104516295,1.662088,2050,9,16,20,female,science,127394,1024
1039,2.070020485,1.91552705,91,7,13,63,male,science,116945,88
1040,1.434106928,1.863120569,19,1,4,2,male,literature,37558,14
1041,2.578000658,2.130460461,54,1,6,6,female,sport,76848,52
1042,1.347644589,2.012213296,63,6,19,28,female,science,52261,49
1043,2.239693427,2.032559707,133,5,27,47,male,sport,235693,79
1044,1.16361765,2.348300437,144,16,37,39,female,science,266942,111
1045,1.435539759,2.216781263,138,3,8,42,male,sport,69822,88
1046,2.706512888,2.065118062,89,12,11,36,male,science,206293,83
1047,1.669169263,2.100300406,37,4,9,1,male,sport,34817,34
1048,1.438791721,2.125814584,14,2,21,9,male,sport,161412,12
1049,1.279190431,1.876645593,146,2,9,3,female,science,45470,128
1050,1.958814618,2.019071405,135,10,14,10,female,sport,151887,118
1051,1.366195157,1.919236136,130,5,13,31,female,literature,102646,112
1052,0.990510568,2.390336065,33,2,7,3,female,science,129883,24
1053,2.220553825,1.726359771,52,11,24,2,male,sport,144843,50
1054,1.931994877,1.882045108,27,0,8,2,female,sport,74196,23
1055,1.389588557,2.246970112,36,0,2,15,female,literature,157630,32
1056,1.150003321,1.82070106,31,0,4,10,male,literature,162848,31
1057,1.145133739,2.327586754,158,6,31,45,female,science,194910,146
1058,1.228880417,1.9127318,29,1,0,4,female,sport,125647,26
1059,1.536356482,1.658979752,18,1,6,0,male,sport,126061,17
1060,2.482429454,2.134922564,385,3,14,5,male,science,142727,125
1061,1.19675076,2.246633694,65,4,7,27,female,science,56356,41
1062,1.933394629,1.930124965,18,3,4,3,male,science,28627,15
1063,0.973112025,1.656240919,207,4,18,46,female,literature,140798,157
1064,1.683241252,1.999749392,102,3,13,26,male,science,109508,91
1065,1.19990062,1.891852173,26,0,0,147,female,sport,65248,23
1066,1.05086305,1.881208088,36,7,8,0,female,literature,19523,36
1067,2.091565491,1.807763576,21,16,24,7,male,sport,156284,17
1068,1.000614397,2.398051655,44,6,13,22,female,science,202576,37
1069,1.548763183,1.697158035,61,5,17,24,female,literature,76388,49
1070,0.977588724,2.030625655,127,15,42,73,male,science,122878,113
1071,1.538635296,2.417988163,43,11,13,19,male,science,103401,37
1072,1.12990279,1.8666032,171,5,14,13,female,science,69096,97
1073,2.66779788,2.147125159,29,4,3,6,male,sport,281284,25
1074,1.613698758,2.182455955,55,0,3,26,male,science,139496,43
1075,2.562740032,1.988354187,91,5,25,32,male,sport,220021,81
1076,1.518784511,1.84828885,62,13,17,30,male,literature,92274,61
1077,1.786070778,2.069418025,102,0,17,31,male,sport,77227,61
1078,1.493506871,1.684614246,41,4,8,20,female,science,42300,30
1079,1.016840017,2.04214617,47,0,3,0,female,science,25517,44
1080,1.357325689,1.891895328,54,7,8,23,male,sport,79099,47
1081,1.39440386,2.16780328,58,3,14,11,female,literature,45568,48
1082,1.177728521,1.976590897,120,3,12,18,female,science,67976,88
1083,0.957058931,1.683617571,181,2,9,56,female,sport,78757,151
1084,1.567479692,2.250591036,103,3,58,27,female,science,139684,95
1085,1.625871527,1.779829988,26,2,7,18,male,sport,135326,19
1086,1.645582705,2.072204716,39,8,27,46,male,science,102290,37
1087,1.832770867,1.792643629,56,2,7,22,female,sport,101315,41
1088,1.440786025,1.811723918,68,7,9,31,male,sport,74678,51
1089,1.052613244,1.75545896,50,0,0,0,male,literature,41756,44
1090,2.260584705,2.108458593,18,3,11,1,female,sport,122147,16
1091,0.973704074,1.901506403,19,3,5,19,female,sport,149245,17
1092,1.022850416,1.995327975,101,12,20,34,male,science,67342,91
1093,2.026876575,1.880482024,23,2,12,1,male,sport,78998,20
1094,1.673416658,1.927310617,67,2,15,49,male,sport,245716,61
1095,2.115556775,1.852981575,38,14,41,0,male,science,44755,30
1096,0.950136616,2.359091225,81,6,15,43,female,science,60885,78
1097,2.441729418,1.657742727,8,5,10,28,male,science,45912,9
1098,2.103030075,2.075250674,44,3,3,17,male,science,33967,47
1099,1.185954267,1.791716909,48,6,9,1,female,sport,47009,36
1100,2.658602592,1.654037835,41,8,13,17,female,science,125373,29
1101,1.314964994,1.682715651,95,23,34,29,male,literature,153498,82
